,precision,recall,f1-score,support
benign (0),0.9726027397260274,0.9861111111111112,0.9793103448275862,72.0
malignant (1),0.975609756097561,0.9523809523809523,0.963855421686747,42.0
accuracy,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
macro avg,0.9741062479117941,0.9692460317460317,0.9715828832571666,114.0
weighted avg,0.9737105878629081,0.9736842105263158,0.9736164257756981,114.0
