model,recall,f1,roc_auc,specificity
Logistic Regression,0.9588235294117647,0.9616519174041298,0.9954179566563468,0.9789473684210527
SVM,0.9588235294117647,0.9476744186046512,0.9910835913312693,0.9614035087719298
Random Forest,0.9294117647058824,0.9376854599406528,0.9896388028895768,0.968421052631579
KNN,0.9117647058823529,0.9480122324159022,0.9815583075335398,0.9929824561403509
Decision Tree,0.9,0.9080118694362018,0.9256965944272446,0.9508771929824561
