,precision,recall,f1-score,support
benign (0),0.9466666666666667,0.9861111111111112,0.9659863945578231,72.0
malignant (1),0.9743589743589743,0.9047619047619048,0.9382716049382716,42.0
accuracy,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193
macro avg,0.9605128205128205,0.9454365079365079,0.9521289997480473,114.0
weighted avg,0.9568690958164642,0.956140350877193,0.9557756825927252,114.0
